id,place_id,created,title,type,multiple_selections,minimum_selections,maximum_selections,index,created_datetime
1451925,1419958,1707228352,Size 2,Optional,0,1,1,1,2024-02-06T16:05:52
1451926,1419958,1707228352,Snacks Choice,Optional,0,1,1,2,2024-02-06T16:05:52
1451927,1419958,1707228352,Drinks Choice,Optional,0,1,1,3,2024-02-06T16:05:52
1451928,1419958,1707228352,Burger Extras,Optional,0,0,2,4,2024-02-06T16:05:52
1451929,1419958,1707228352,Pitabrød Choice,Optional,0,0,1,5,2024-02-06T16:05:52
1451930,1419958,1707228352,Pitabrød med Falafel Choice,Optional,0,0,1,6,2024-02-06T16:05:52
1451931,1419958,1707228352,Durum Choice,Optional,0,0,1,7,2024-02-06T16:05:52
1451932,1419958,1707228352,Durum med Falafel Choice,Optional,0,0,1,8,2024-02-06T16:05:52
1451933,1419958,1707228352,Burger Choice,Optional,0,0,1,9,2024-02-06T16:05:52
1493743,1244494,1707366165,Size 1,Optional,0,1,1,0,2024-02-08T06:22:45
1493744,1244494,1707366165,Brunch Choice,Optional,0,0,4,1,2024-02-08T06:22:45
1493745,1244494,1707366165,Size 2,Optional,0,1,1,2,2024-02-08T06:22:45
1493746,1244494,1707366165,Nachos Choice,Optional,0,1,1,3,2024-02-08T06:22:45
1493747,1244494,1707366165,Salater Ekstras,Optional,0,0,3,4,2024-02-08T06:22:45
